Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Trevor Rogers ,25,MIA,NL,1,2,0.333,4.0,4,4,0,0,0,0,18.0,16,9,8,2,6,0,19,3,0,0,79,110,4.12,1.222,8.0,1.0,3.0,9.5,3.17
Tyler Rogers,32,SFG,NL,3,4,0.429,2.2,44,0,7,0,0,2,49.0,39,13,12,3,14,2,38,1,0,0,200,196,3.45,1.082,7.2,0.6,2.6,7.0,2.71
Josh Rojas,29,ARI,NL,0,0,0.0,18.0,2,0,2,0,0,0,2.0,6,4,4,0,1,0,1,0,0,0,13,28,3.79,3.5,27.0,0.0,4.5,4.5,1.0
Jordan Romano,30,TOR,AL,4,5,0.444,2.97,41,0,35,0,0,26,39.1,33,13,13,4,13,4,48,1,1,0,163,142,3.24,1.169,7.6,0.9,3.0,11.0,3.69
JoJo Romero ,26,STL,NL,2,0,1.0,2.55,13,0,3,0,0,0,17.2,9,6,5,1,8,0,18,0,0,0,69,173,3.35,0.962,4.6,0.5,4.1,9.2,2.25
Drew Rucinski,34,OAK,AL,0,4,0.0,9.0,4,4,0,0,0,0,18.0,27,22,18,5,14,0,6,1,0,0,95,46,8.73,2.278,13.5,2.5,7.0,3.0,0.43
Michael Rucker,29,CHC,NL,2,1,0.667,5.21,32,0,11,0,0,0,38.0,39,22,22,6,16,0,38,3,0,1,165,86,4.84,1.447,9.2,1.4,3.8,9.0,2.38
José Ruiz,28,TOT,MLB,2,1,0.667,5.48,37,0,14,0,0,0,42.2,47,28,26,8,21,1,38,6,1,3,198,79,5.84,1.594,9.9,1.7,4.4,8.0,1.81
José Ruiz,28,CHW,AL,0,0,0.0,22.09,4,0,1,0,0,0,3.2,8,9,9,3,4,0,3,2,1,0,25,22,17.2,3.273,19.6,7.4,9.8,7.4,0.75
José Ruiz,28,ARI,NL,2,1,0.667,3.92,33,0,13,0,0,0,39.0,39,19,17,5,17,1,35,4,0,3,173,109,4.78,1.436,9.0,1.2,3.9,8.1,2.06
Joe Ryan,27,MIN,AL,9,6,0.6,3.88,20,20,0,1,1,0,118.1,102,53,51,19,22,0,141,4,0,3,480,111,3.65,1.048,7.8,1.4,1.7,10.7,6.41
Eduardo Salazar,25,CIN,NL,1,0,1.0,8.03,8,0,3,0,0,0,12.1,16,11,11,0,5,0,5,4,0,1,61,60,4.67,1.703,11.7,0.0,3.6,3.6,1.0
Chris Sale ,34,BOS,AL,5,2,0.714,4.58,11,11,0,0,0,0,59.0,55,31,30,8,15,0,71,6,0,2,249,102,3.71,1.186,8.4,1.2,2.3,10.8,4.73
Cristopher Sánchez ,26,PHI,NL,0,3,0.0,3.06,7,7,0,0,0,0,35.1,31,15,12,5,6,0,30,0,0,2,140,142,3.94,1.047,7.9,1.3,1.5,7.6,5.0
Nick Sandlin,26,CLE,AL,4,3,0.571,3.35,36,0,3,0,0,0,37.2,20,16,14,6,14,1,40,1,0,0,143,125,4.43,0.903,4.8,1.4,3.3,9.6,2.86
Patrick Sandoval ,26,LAA,AL,5,7,0.417,4.16,17,17,0,0,0,0,93.0,92,49,43,7,39,2,77,4,0,4,412,107,4.0,1.409,8.9,0.7,3.8,7.5,1.97
Cole Sands,25,MIN,AL,0,0,0.0,4.5,10,0,8,0,0,0,14.0,15,7,7,3,9,0,14,0,0,2,66,98,6.0,1.714,9.6,1.9,5.8,9.0,1.56
Reiver Sanmartin ,27,CIN,NL,1,0,1.0,7.07,14,0,3,0,0,0,14.0,17,13,11,2,10,0,13,0,0,2,70,68,5.43,1.929,10.9,1.3,6.4,8.4,1.3
Dennis Santana,27,NYM,NL,1,0,1.0,6.23,8,0,3,0,0,0,8.2,8,6,6,2,5,0,11,1,0,0,40,69,5.83,1.5,8.3,2.1,5.2,11.4,2.2
Tony Santillan,26,CIN,NL,1,0,1.0,2.7,3,0,1,0,0,0,3.1,4,1,1,0,5,1,1,0,0,0,18,192,7.19,2.7,10.8,0.0,13.5,2.7,0.2
Gregory Santos,23,CHW,AL,2,0,1.0,2.59,44,0,7,0,0,1,48.2,50,15,14,1,11,0,48,3,0,1,207,169,2.45,1.253,9.2,0.2,2.0,8.9,4.36
